Country Name,Region,Income Group,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,South Asia,Low income,DT.TDS.DPPF.XP.ZS,19.835184,20.24998,20.652576,20.053938,19.648247,19.657051,19.951721,20.082418,19.692457,18.882036,19.612583,18.312408,18.168808,18.81318,17.286232,16.727232,16.282467,13.186667,0.4028193,0.48768625,0.34415627,0.3136435,0.5533904,1.5547839,1.8752608,2.8058538,3.735882,3.5486476,2.5952227,2.390422,2.2440822
Afghanistan,South Asia,Low income,EG.ELC.ACCS.ZS,16.706064,12.893746,11.316096,12.053926,12.388746,12.578941,12.717424,12.676747,12.984311,13.612066,1.613591,4.074574,9.409158,14.738505,20.064968,25.390892,30.71869,36.05101,42.4,46.74005,42.7,43.22202,69.1,68.29065,89.5,71.5,97.7,97.7,96.616135,97.7,97.7
Afghanistan,South Asia,Low income,GFDD.AI.01,8159.154,10465.647,12165.241,13111.529,14836.932,16945.672,18017.709,17362.914,15583.962,13421.031,15794.383,14198.584,14531.496,16322.391,14789.153,14836.397,16207.641,12373.118,36.402496,87.48714,105.885735,139.43752,166.11281,155.78116,172.80728,181.08727,182.14525,166.16704,174.2991,183.28732,3181.8262
Afghanistan,South Asia,Low income,GFDD.DI.04,40.23823,34.63579,30.646791,30.97062,31.471334,31.993185,32.401146,32.47253,32.432194,32.989243,33.164253,35.25204,36.187366,35.828186,38.445946,39.829666,43.459717,52.295807,58.46883,82.58896,86.0317,77.96436,56.26987,59.72195,59.32874,60.263813,65.520035,73.74906,84.97005,97.71289,96.25589
Afghanistan,South Asia,Low income,GFDD.DI.05,-4.3043427,-5.56911,-5.8230414,-4.249613,-4.653566,-5.3772035,-5.8862367,-4.877909,-4.872473,-4.4985485,-2.6496916,-4.9051447,-4.5492573,-1.0967735,-2.9545379,-3.692339,23.49449,27.73951,29.286058,33.30402,36.069366,37.24286,32.76096,33.32521,34.01956,33.82253,37.22271,36.86128,36.60749,34.959103,37.20945
Afghanistan,South Asia,Low income,GFDD.DI.06,5.1534367,6.931952,6.0873103,4.8864803,3.6391542,2.9732258,2.9467652,3.2553992,3.624151,1.5447123,5.0378428,2.3747396,2.1103613,4.00374,1.3364453,0.3572431,-0.2982077,-1.1909413,-0.3568915,2.248049,1.9178909,1.425788,3.233945,2.8268108,2.551267,2.4975722,1.992255,1.323696,0.6103021,0.0750632,0.1159692
Afghanistan,South Asia,Low income,GFDD.DI.11,-13.029442,-9.618565,-7.6587334,-6.87067,-7.295763,-8.017911,-8.803268,-8.973395,-8.6362705,-7.7144737,-8.532875,-8.602583,-9.741072,-10.823105,-11.467937,-11.250347,-11.375281,-10.035226,-12.687204,-12.851201,-13.466338,-13.751082,-13.306259,-12.759327,-13.497914,-13.650457,-13.236753,-12.524463,-12.109786,-12.097613,-12.43846
Afghanistan,South Asia,Low income,GFDD.DM.11,20.073023,24.169716,30.123665,33.66281,36.03123,35.124325,33.665276,33.44564,33.790756,39.379894,41.43973,42.174423,43.13364,43.962746,41.978523,42.21349,40.972336,35.12029,34.170017,26.951187,29.650454,28.389683,26.900614,22.459517,24.440603,24.144592,20.826746,23.083698,21.910494,18.769766,18.412247
Afghanistan,South Asia,Low income,GFDD.EI.08,-4.5756583,-5.062877,-5.528514,-5.454648,-5.526123,-5.688104,-5.7843776,-5.7705483,-5.7899647,-5.630284,-4.9077425,-5.016473,-4.8565493,-4.5200787,-4.8187633,-4.887453,-3.6460583,-3.0791054,-2.0847318,-0.48894578,-0.07862329,0.37447143,0.5458379,1.1235741,1.3152853,1.4448524,1.6623807,1.9959147,2.47577,3.094939,4.0145907
Afghanistan,South Asia,Low income,GFDD.OI.02,6.3681154,2.768768,4.4858303,5.845045,6.0921454,6.001819,6.0045133,4.9953585,2.7101986,5.2582393,4.2485385,5.883999,7.5501695,8.084811,10.639414,12.248196,9.2128315,13.07231,15.503501,18.70725,19.14611,19.30889,18.08667,17.72008,17.20384,17.11684,18.96479,19.07627,18.881731,16.91687,17.64849
Afghanistan,South Asia,Low income,SH.STA.BRTC.ZS,30.59161,27.774223,24.978592,25.083258,24.701727,24.26506,24.050947,24.178217,24.537144,25.685802,12.400001,27.994328,29.207651,14.3,30.91781,31.657633,18.9,44.744576,24.0,60.93861,34.3,38.600002,39.9,66.97951,45.2,50.5,73.57332,53.399998,58.799995,75.041115,75.222206
Afghanistan,South Asia,Low income,SL.IND.EMPL.ZS,11.06408,12.43,12.21,11.57,11.48,11.510001,11.08,10.69,10.33,9.95,9.48,8.98,9.99,10.35,10.61,11.33,11.79,12.2,12.48,13.630001,14.660001,14.750001,15.770001,16.33,16.77,17.170002,17.320002,18.03,18.46,18.55,16.597858
Albania,Europe & Central Asia,Upper middle income,DT.TDS.DPPF.XP.ZS,12.0042515,4.298872,2.1752603,3.1762002,6.635782,1.9742674,4.363553,13.7492485,8.360305,4.3297586,4.089263,4.104154,6.472856,5.012847,4.743804,4.4419193,4.37998,3.6545074,3.1433647,4.827229,6.8353767,7.5563564,7.918082,5.094129,6.32797,16.956291,7.2373676,6.8253717,13.141501,7.5181394,17.897654
Albania,Europe & Central Asia,Upper middle income,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.90001,100.0,99.95,99.98001,99.89,99.89,100.0,100.0,100.0
