Country Name,Region,Income Group,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,South Asia,Low income,DT.TDS.DPPF.XP.ZS,12.023594,17.079744,11.224402,12.418708,9.7236595,16.883823,9.860331,8.671626,15.627742,5.5598717,5.3353615,6.7349772,5.6284337,8.611908,9.121755,10.212325,4.9702773,3.1336558,0.4028193,0.48768625,0.34415627,0.3136435,0.5533904,1.5547839,1.8752608,2.8058538,3.735882,3.5486476,2.5952227,2.390422,2.2440822
Afghanistan,South Asia,Low income,EG.ELC.ACCS.ZS,93.93212,81.56658,79.820045,79.851265,78.82203,61.94828,78.53022,76.42537,79.58973,82.29293,1.613591,4.074574,9.409158,14.738505,20.064968,25.390892,30.71869,36.05101,42.4,46.74005,42.7,43.22202,69.1,68.29065,89.5,71.5,97.7,97.7,96.616135,97.7,97.7
Afghanistan,South Asia,Low income,GFDD.AI.01,7041.0137,10807.021,-138.1576,3912.5522,6593.898,7632.9907,7408.3193,22839.803,7574.7925,9485.967,4566.2827,5726.387,4984.493,10044.747,1512.7051,6530.4565,-3848.3035,5189.9253,36.402496,87.48714,105.885735,139.43752,166.11281,155.78116,172.80728,181.08727,182.14525,166.16704,174.2991,183.28732,11428.706
Afghanistan,South Asia,Low income,GFDD.DI.04,99.017975,101.19376,84.80919,81.618195,103.30545,87.14568,97.36812,98.08514,70.274864,91.14464,90.11583,94.39374,96.43675,90.34936,95.94714,99.45859,99.68181,106.92151,95.51772,82.58896,86.0317,77.96436,56.26987,59.72195,59.32874,60.263813,65.520035,73.74906,84.97005,97.71289,96.25589
Afghanistan,South Asia,Low income,GFDD.DI.05,24.19928,40.583477,42.936893,66.810936,37.956203,55.74673,41.912598,71.42607,55.39193,49.609722,39.84497,18.380632,65.29064,72.78824,39.181686,55.61962,23.49449,27.73951,29.286058,33.30402,36.069366,37.24286,32.76096,33.32521,34.01956,33.82253,37.22271,36.86128,36.60749,34.959103,37.20945
Afghanistan,South Asia,Low income,GFDD.DI.06,8.969241,7.8856754,8.733381,5.1030498,5.2619123,-0.72438323,5.038732,3.9092073,8.43025,6.8530145,7.463748,2.7173827,3.16847,1.3201033,5.369258,16.272692,4.721204,3.070653,8.388055,2.248049,1.9178909,1.425788,3.233945,2.8268108,2.551267,2.4975722,1.992255,1.323696,0.6103021,0.0750632,0.1159692
Afghanistan,South Asia,Low income,GFDD.DI.11,60.246925,97.99542,55.530174,108.045395,47.449818,38.139503,85.581894,17.942772,71.1248,64.155754,44.034927,27.825266,44.361732,54.118275,121.54525,92.25487,102.24575,66.825806,135.1699,38.30529,117.61061,84.578575,44.619335,85.96253,81.98537,68.97475,101.676605,84.625175,102.15969,67.06884,80.17476
Afghanistan,South Asia,Low income,GFDD.DM.11,83.94952,37.55804,99.94161,119.99997,70.0116,125.24438,63.94022,130.40997,50.44561,75.95681,45.567432,60.019672,71.52913,146.70671,143.53818,125.218,240.71976,88.39447,125.531136,89.484055,137.35884,131.9579,166.96507,125.20437,159.32353,131.8293,212.3841,70.58799,145.22528,44.801323,96.855255
Afghanistan,South Asia,Low income,GFDD.EI.08,9.322668,16.44578,2.8117447,10.152338,16.71216,12.679417,24.642794,8.643992,16.27793,13.669446,5.4910617,9.320914,6.3418183,10.841493,14.787793,9.309291,11.904234,14.022824,17.18963,33.647835,17.570395,10.695027,6.346107,13.856201,24.364517,16.777206,37.03197,17.76491,12.857534,12.96186,19.937078
Afghanistan,South Asia,Low income,GFDD.OI.02,19.103922,25.857618,21.6169,31.184267,27.61528,11.597118,31.00749,23.683647,15.94031,13.335851,17.522284,25.153002,24.499653,27.585413,20.042984,32.853134,9.2128315,13.07231,15.503501,18.70725,19.14611,19.30889,18.08667,17.72008,17.20384,17.11684,18.96479,19.07627,18.881731,16.91687,17.64849
