Country Name,Country Code,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Region,Income Group
Afghanistan,AFG,DT.TDS.DPPF.XP.ZS,,,,,,,,,,,,,,,,,,,0.402819292924976,0.487686262693032,0.344156289997136,0.313643499018774,0.553390349525131,1.55478392301891,1.87526084674456,2.80585396332281,3.73588202243344,3.54864769227737,2.59522269404553,2.39042205413598,2.2440821580961,South Asia,Low income
Afghanistan,AFG,EG.ELC.ACCS.ZS,,,,,,,,,,,1.61359095573425,4.07457399368286,9.40915775299072,14.7385063171387,20.0649681091309,25.3908939361572,30.7186908721924,36.0510101318359,42.4000015258789,46.7400512695313,42.7000007629395,43.2220191955566,69.0999984741211,68.2906494140625,89.5,71.5,97.6999969482422,97.6999969482422,96.6161346435547,97.6999969482422,97.6999969482422,South Asia,Low income
Afghanistan,AFG,GFDD.AI.01,,,,,,,,,,,,,,,,,,,36.402495,87.487134,105.88574,139.43751,166.11281,155.78115,172.80729,181.08728,182.14525,166.16705,174.29911,183.28731,,South Asia,Low income
Afghanistan,AFG,GFDD.DI.04,,,,,,,,,,,,,,,,,,,,82.58896,86.0317,77.96436,56.26987,59.72195,59.32874,60.26381,65.52003,73.74906,84.97005,97.7129,96.25589,South Asia,Low income
Afghanistan,AFG,GFDD.DI.05,,,,,,,,,,,,,,,,,23.49449,27.73951,29.28606,33.30402,36.06937,37.24286,32.76096,33.32521,34.01956,33.82253,37.22271,36.86128,36.60749,34.9591,37.20945,South Asia,Low income
Afghanistan,AFG,GFDD.DI.06,,,,,,,,,,,,,,,,,,,,2.248049,1.917891,1.425788,3.233945,2.826811,2.551267,2.497572,1.992255,1.323696,0.6103021,0.0750632,0.1159692,South Asia,Low income
Afghanistan,AFG,GFDD.DI.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,Low income
Afghanistan,AFG,GFDD.DM.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,Low income
Afghanistan,AFG,GFDD.EI.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,Low income
Afghanistan,AFG,GFDD.OI.02,,,,,,,,,,,,,,,,,9.212831,13.07231,15.5035,18.70725,19.14611,19.30889,18.08667,17.72008,17.20384,17.11684,18.96479,19.07627,18.88173,16.91687,17.64849,South Asia,Low income
Afghanistan,AFG,SH.STA.BRTC.ZS,,,,,,,,,,,12.4,,,14.3,,,18.9,,24,,34.3,38.6,39.9,,45.2,50.5,,53.4,58.8,,,South Asia,Low income
Afghanistan,AFG,SL.IND.EMPL.ZS,,12.4300003051758,12.210000038147,11.5699996948242,11.4799995422363,11.5100002288818,11.0799999237061,10.6899995803833,10.3299999237061,9.94999980926514,9.47999954223633,8.97999954223633,9.98999977111816,10.3500003814697,10.6099996566772,11.3299999237061,11.789999961853,12.1999998092651,12.4799995422363,13.6300001144409,14.6599998474121,14.75,15.7700004577637,16.3299999237061,16.7700004577637,17.1700000762939,17.3199996948242,18.0300006866455,18.4599990844727,18.5499992370605,,South Asia,Low income
